ID_Satker,Jumlah_Penduduk_Terlayani_Ribu,Jumlah_Program_Kegiatan,Jumlah_Pegawai,Luas_Wilayah_km2,Realisasi_Anggaran_Tahun_Lalu_Juta,Jumlah_Unit_Kerja,Tingkat_Inflasi_Pct,Kebutuhan_Anggaran_Juta
SATK0433,136.4,14,57,195.5,15666,9,3.45,17083.7
SATK0434,5,21,57,164.9,12076,5,5.36,13197.3
SATK0435,128.6,10,95,273.1,11270,6,3.81,12466.7
SATK0436,213.8,28,80,80.9,8382,8,3.44,9734.1
SATK0437,121.1,28,60,194.1,8891,6,1.29,10056.5
SATK0438,89.1,12,31,210.7,800,5,4.16,1166.8
SATK0439,32.2,11,60,15,4445,6,1.91,5080.7
SATK0440,136.1,14,37,165.8,7163,9,2.29,8156.7
SATK0441,77.4,22,62,275.6,3100,7,4.53,4463.1
SATK0442,149.3,7,45,147.5,9028,6,3.37,10245.9
SATK0443,41.8,19,8,317.3,4458,7,5.73,5378.2
SATK0444,246.4,8,57,297.6,4658,7,2.53,5125.4
SATK0445,66.6,14,26,236.5,17298,4,2.18,18403.4
SATK0446,175.0,33,107,653.1,13313,9,3.17,14913.9
SATK0447,136.6,26,90,273.0,10500,3,2.55,11461.2
SATK0448,200.2,21,83,362.7,1380,6,5.06,2388.4
SATK0449,107.9,9,132,411.6,13001,5,2.57,13949.1
SATK0450,110.5,13,102,509.5,12691,7,2.95,13980.8
SATK0451,63.4,34,73,433.0,1689,8,4.0,2935.1
SATK0452,115.0,34,71,250.2,11233,4,2.8,12449.9
SATK0453,5,22,91,170.4,13376,7,4.43,14359.9
SATK0454,255.4,16,82,218.1,800,4,3.59,1277.7
SATK0455,76.4,11,32,15,3239,4,3.86,3211.9
SATK0456,123.8,31,38,298.3,12537,5,6.54,13579.6
SATK0457,208.9,21,67,140.3,11570,3,3.63,12513.4
SATK0458,195.3,16,68,306.1,4876,5,3.15,5359.5
SATK0459,105.9,21,78,396.5,10501,6,2.3,12269.9
SATK0460,5,23,79,389.9,19404,7,3.79,21040.0
SATK0461,179.1,12,99,198.2,1747,9,2.86,3053.5
SATK0462,141.0,22,46,379.1,10616,7,3.24,11626.4
SATK0463,41.1,16,126,467.8,11321,3,3.27,12509.1
SATK0464,136.5,21,89,235.3,5686,2,2.31,6939.9
SATK0465,263.2,22,56,287.0,800,2,1.66,1027.7
SATK0466,135.2,22,8,551.4,13710,8,2.19,14456.5
SATK0467,148.2,13,98,331.3,8595,10,3.05,9564.3
SATK0468,36.1,11,117,308.6,5471,3,3.58,6047.9
SATK0469,61.7,18,52,104.0,10154,4,4.14,11075.6
SATK0470,96.0,23,70,320.1,14259,8,3.59,15661.3
SATK0471,82.2,19,106,364.6,6742,3,2.97,7355.3
SATK0472,192.2,25,96,182.9,800,3,3.51,2024.8
SATK0473,159.9,19,64,301.7,17642,7,3.19,19248.3
SATK0474,17.4,18,22,391.6,7928,7,1.87,9454.7
SATK0475,66.2,21,93,151.8,8830,6,3.77,9071.1
SATK0476,50.2,22,77,243.8,11490,5,1.01,12013.9
SATK0477,213.4,12,15,377.1,4194,3,3.53,4462.0
SATK0478,200.4,18,76,92.1,9980,8,2.22,10622.9
SATK0479,33.9,18,133,15,4289,4,0.73,5527.0
SATK0480,144.0,11,53,64.7,1667,5,4.15,2370.2
SATK0481,37.9,23,69,85.7,16467,2,4.49,17492.8
SATK0482,127.3,24,32,161.4,6968,9,3.97,7946.2
SATK0483,164.2,15,56,433.7,19732,8,2.15,21234.9
SATK0484,5,26,68,136.5,11229,3,2.08,12456.5
SATK0485,239.1,14,44,151.2,7821,6,3.96,8729.4
SATK0486,89.5,13,76,323.0,14759,6,2.55,16326.6
SATK0487,152.7,28,98,353.9,9869,6,4.45,11575.8
SATK0488,114.7,28,45,112.9,11525,5,3.46,12761.8
SATK0489,174.8,15,23,200.3,20656,9,4.71,21565.3
SATK0490,171.8,18,70,15,19954,4,4.11,21675.6
SATK0491,206.2,26,66,85.0,13811,9,3.12,15308.8
SATK0492,135.9,12,45,312.9,15805,5,4.5,16713.1
SATK0493,237.2,16,78,245.6,6009,9,2.93,6803.3
SATK0494,237.6,17,44,360.0,3192,9,4.25,4264.6
SATK0495,138.3,14,76,448.8,10097,2,6.36,11614.9
SATK0496,134.9,28,90,158.8,9582,4,2.74,10559.7
SATK0497,194.2,20,88,253.3,19458,6,2.52,20702.1
SATK0498,216.7,4,68,201.7,12337,3,2.69,13281.2
SATK0499,173.8,24,108,244.1,5600,9,5.25,6923.2
SATK0500,95.2,24,71,137.6,9954,5,2.32,11865.0
