ID_Sewa,Luas_Bangunan_m2,Jumlah_Kamar_Tidur,Jumlah_Kamar_Mandi,Status_Furnished,Jarak_Pusat_Kota_km,Fasilitas_Parkir,Tipe_Properti,Harga_Sewa_Juta_per_Tahun
SEW0377,80,4,3,Kosongan,21.4,Tidak,Apartemen,41.21
SEW0378,122,4,3,Semi Furnished,9.8,Tidak,Rumah,47.24
SEW0379,73,3,2,Full Furnished,14.5,Ya,Rumah,44.87
SEW0380,29,1,1,Semi Furnished,3.6,Tidak,Apartemen,27.7
SEW0381,18,2,2,Semi Furnished,2.6,Ya,Kos,11.36
SEW0382,18,2,1,Full Furnished,15.1,Tidak,Kos,6.05
SEW0383,26,2,1,Full Furnished,5.6,Tidak,Apartemen,38.9
SEW0384,96,3,3,Semi Furnished,2.4,Ya,Rumah,45.78
SEW0385,106,2,1,Full Furnished,0.6,Ya,Rumah,50.49
SEW0386,144,2,1,Full Furnished,5.1,Tidak,Rumah,49.32
SEW0387,26,3,2,Semi Furnished,4.8,Ya,Rumah,39.13
SEW0388,83,3,2,Semi Furnished,0.4,Ya,Rumah,46.69
SEW0389,113,3,2,Semi Furnished,1.3,Ya,Rumah,47.6
SEW0390,91,3,2,Full Furnished,0.9,Ya,Rumah,51.53
SEW0391,29,4,2,Kosongan,0.2,Ya,Apartemen,43.91
SEW0392,66,3,2,Kosongan,2.7,Ya,Kos,16.4
SEW0393,72,2,2,Full Furnished,3.5,Tidak,Kos,14.84
SEW0394,92,3,2,Semi Furnished,7.3,Ya,Apartemen,54.78
SEW0395,20,5,3,Semi Furnished,1.7,Ya,Kos,16.29
SEW0396,103,2,2,Full Furnished,25,Ya,Kos,16.18
SEW0397,100,4,3,Full Furnished,3.5,Ya,Kos,19.35
SEW0398,49,2,1,Full Furnished,13.2,Ya,Apartemen,46.35
SEW0399,91,3,2,Semi Furnished,5.0,Ya,Rumah,41.25
SEW0400,86,2,1,Kosongan,2.2,Ya,Rumah,32.12
SEW0401,91,2,1,Full Furnished,1.2,Ya,Kos,19.13
SEW0402,95,3,2,Kosongan,0.2,Ya,Kos,15.02
SEW0403,48,4,3,Full Furnished,3.8,Ya,Apartemen,63.55
SEW0404,118,3,2,Kosongan,4.4,Tidak,Apartemen,48.81
SEW0405,103,4,3,Kosongan,4.0,Ya,Apartemen,60.53
SEW0406,78,2,1,Semi Furnished,1.5,Tidak,Kos,12.09
SEW0407,171,1,1,Semi Furnished,6.3,Tidak,Rumah,38.7
SEW0408,125,2,1,Semi Furnished,0.7,Ya,Apartemen,56.93
SEW0409,97,1,1,Semi Furnished,5.8,Tidak,Kos,14.3
SEW0410,137,1,1,Kosongan,1.0,Ya,Rumah,42.06
SEW0411,53,1,1,Semi Furnished,6.2,Ya,Rumah,29.64
SEW0412,142,2,1,Kosongan,0.2,Ya,Kos,16.02
SEW0413,109,2,2,Semi Furnished,1.4,Tidak,Apartemen,53.75
SEW0414,80,2,1,Full Furnished,4.0,Tidak,Rumah,38.73
SEW0415,53,2,1,Full Furnished,8.7,Ya,Kos,17.49
SEW0416,176,1,1,Full Furnished,0.6,Tidak,Rumah,51.93
SEW0417,34,1,1,Semi Furnished,8.5,Ya,Rumah,21.11
SEW0418,44,2,1,Full Furnished,2.3,Tidak,Rumah,33.58
SEW0419,91,3,3,Kosongan,3.4,Tidak,Apartemen,49.19
SEW0420,83,3,2,Kosongan,0.4,Ya,Kos,17.27
SEW0421,98,2,1,Full Furnished,8.3,Ya,Rumah,50.22
SEW0422,90,3,2,Kosongan,0.4,Ya,Apartemen,47.24
SEW0423,184,3,3,Kosongan,6.7,Ya,Apartemen,70.71
SEW0424,124,1,1,Semi Furnished,0.8,Ya,Apartemen,51.66
SEW0425,66,2,2,Kosongan,1.8,Ya,Kos,16.05
SEW0426,149,3,2,Semi Furnished,1.3,Tidak,Rumah,51.18
SEW0427,136,1,1,Kosongan,0.6,Ya,Kos,12.72
SEW0428,123,4,3,Full Furnished,4.6,Ya,Apartemen,81.42
SEW0429,31,2,1,Semi Furnished,1.8,Tidak,Rumah,30.55
SEW0430,134,1,1,Full Furnished,0.4,Ya,Kos,14.4
SEW0431,115,4,3,Semi Furnished,6.4,Tidak,Apartemen,64.44
SEW0432,102,3,2,Full Furnished,1.0,Ya,Rumah,53.86
SEW0433,25,3,2,Full Furnished,2.0,Tidak,Apartemen,47.19
SEW0434,122,1,1,Full Furnished,2.4,Ya,Rumah,48.34
SEW0435,26,2,2,Full Furnished,1.3,Ya,Kos,17.96
SEW0436,86,5,3,Semi Furnished,9.4,Tidak,Kos,16.25
SEW0437,74,3,3,Full Furnished,12.2,Ya,Kos,19.66
SEW0438,87,4,3,Kosongan,16.7,Ya,Apartemen,49.17
SEW0439,72,2,2,Full Furnished,0.2,Ya,Rumah,49.52
SEW0440,104,3,2,Full Furnished,6.9,Tidak,Rumah,47.31
SEW0441,49,3,2,Semi Furnished,1.7,Ya,Kos,18.77
SEW0442,93,2,2,Semi Furnished,10.4,Ya,Kos,14.98
SEW0443,121,2,2,Semi Furnished,0.9,Tidak,Apartemen,55.34
SEW0444,77,3,2,Kosongan,6.9,Ya,Kos,17.17
SEW0445,98,1,1,Semi Furnished,8.8,Ya,Kos,12.38
SEW0446,59,3,2,Full Furnished,0.2,Ya,Apartemen,60.35
SEW0447,129,3,2,Semi Furnished,4.0,Ya,Rumah,49.82
SEW0448,189,1,1,Kosongan,1.9,Tidak,Rumah,41.9
SEW0449,60,3,2,Kosongan,7.0,Tidak,Kos,10.9
SEW0450,63,1,1,Full Furnished,0.8,Ya,Rumah,41.66
SEW0451,18,1,1,Kosongan,3.1,Tidak,Rumah,14.37
SEW0452,18,3,2,Kosongan,16.6,Ya,Apartemen,25.93
SEW0453,26,1,1,Full Furnished,2.1,Ya,Kos,7.78
SEW0454,115,3,2,Semi Furnished,0.4,Ya,Apartemen,59.63
SEW0455,18,2,1,Full Furnished,4.0,Tidak,Kos,12.46
SEW0456,89,1,1,Kosongan,2.3,Ya,Rumah,36.4
SEW0457,84,2,1,Kosongan,10.5,Tidak,Rumah,28.87
SEW0458,116,4,3,Full Furnished,12.5,Ya,Rumah,59.4
SEW0459,135,1,1,Semi Furnished,3.5,Ya,Kos,14.9
SEW0460,29,1,1,Full Furnished,0.2,Tidak,Rumah,26.94
SEW0461,102,3,2,Semi Furnished,3.1,Ya,Apartemen,54.94
SEW0462,18,2,2,Full Furnished,12.8,Tidak,Rumah,29.83
SEW0463,63,3,3,Semi Furnished,6.1,Ya,Rumah,43.16
SEW0464,86,1,1,Kosongan,4.6,Ya,Kos,11.98
SEW0465,53,3,2,Kosongan,10.1,Tidak,Apartemen,33.74
SEW0466,136,3,2,Kosongan,6.2,Tidak,Apartemen,52.96
SEW0467,65,2,2,Kosongan,11.6,Ya,Kos,12.41
SEW0468,112,1,1,Kosongan,6.0,Ya,Apartemen,43.16
SEW0469,76,2,2,Semi Furnished,0.4,Tidak,Apartemen,42.0
SEW0470,185,4,3,Semi Furnished,0.8,Ya,Rumah,64.78
SEW0471,93,2,2,Semi Furnished,3.7,Ya,Apartemen,52.87
SEW0472,62,1,1,Kosongan,19.3,Ya,Apartemen,28.02
SEW0473,100,3,2,Full Furnished,17.8,Ya,Rumah,48.35
SEW0474,73,3,3,Semi Furnished,5.2,Ya,Rumah,41.87
SEW0475,50,3,2,Full Furnished,0.6,Ya,Rumah,47.68
SEW0476,128,1,1,Semi Furnished,2.9,Ya,Apartemen,51.93
SEW0477,150,2,2,Full Furnished,0.5,Ya,Apartemen,71.3
SEW0478,105,2,1,Semi Furnished,4.4,Ya,Rumah,35.34
SEW0479,55,3,2,Semi Furnished,1.1,Ya,Rumah,45.24
SEW0480,62,1,1,Full Furnished,0.2,Ya,Rumah,41.86
SEW0481,63,4,2,Full Furnished,7.9,Ya,Rumah,51.01
SEW0482,56,3,2,Full Furnished,8.6,Ya,Rumah,44.49
SEW0483,202,2,1,Full Furnished,1.1,Ya,Kos,25.64
SEW0484,30,3,3,Kosongan,11.7,Ya,Rumah,32.08
SEW0485,138,3,2,Semi Furnished,7.7,Tidak,Apartemen,58.28
SEW0486,131,3,2,Semi Furnished,5.0,Ya,Rumah,50.08
SEW0487,56,1,1,Semi Furnished,6.8,Ya,Apartemen,34.88
SEW0488,52,3,2,Semi Furnished,1.4,Tidak,Kos,18.72
SEW0489,87,1,1,Full Furnished,4.9,Ya,Apartemen,54.46
SEW0490,107,2,1,Full Furnished,0.5,Ya,Rumah,49.07
SEW0491,101,2,1,Kosongan,0.4,Tidak,Rumah,31.89
SEW0492,44,2,2,Kosongan,0.2,Ya,Apartemen,42.75
SEW0493,72,2,2,Full Furnished,3.3,Ya,Apartemen,59.2
SEW0494,135,3,2,Kosongan,3.6,Ya,Kos,17.03
SEW0495,101,3,2,Kosongan,6.5,Tidak,Rumah,30.14
SEW0496,91,2,1,Full Furnished,3.4,Ya,Rumah,48.75
SEW0497,89,3,2,Full Furnished,1.7,Ya,Apartemen,65.28
SEW0498,46,3,2,Full Furnished,2.8,Tidak,Kos,9.53
SEW0499,41,1,1,Semi Furnished,2.3,Ya,Rumah,28.68
SEW0500,89,1,1,Full Furnished,5.2,Tidak,Rumah,37.78
