ID_Rumah,Luas_Tanah_m2,Luas_Bangunan_m2,Jumlah_Kamar_Tidur,Jumlah_Kamar_Mandi,Jumlah_Lantai,Usia_Bangunan_Tahun,Jarak_Pusat_Kota_km,Kategori_Lokasi,Harga_Rumah_Juta
RMH0408,60,45,2,2,3,3,1.2,Pinggiran,736.3
RMH0409,167,109,4,2,1,7,0.8,Pinggiran,1465.3
RMH0410,213,156,3,2,1,22,5.7,Pinggiran,1816.9
RMH0411,60,36,3,2,1,2,1.2,Perkotaan,835.7
RMH0412,148,98,4,2,1,4,1.5,Pinggiran,1388.6
RMH0413,60,47,2,2,1,9,3.5,Pedesaan,420.2
RMH0414,86,72,3,3,3,4,4.7,Perkotaan,1268.2
RMH0415,260,156,2,2,1,0,13.7,Perkotaan,2304.3
RMH0416,135,70,4,2,1,9,8.9,Pedesaan,767.0
RMH0417,121,80,3,2,3,12,6.2,Pedesaan,812.8
RMH0418,110,70,3,1,2,7,5.1,Perkotaan,1362.9
RMH0419,146,103,4,2,1,9,4.6,Pinggiran,1232.2
RMH0420,70,48,3,3,1,12,2.2,Perkotaan,1000.3
RMH0421,157,95,2,1,1,6,0.9,Pinggiran,1323.1
RMH0422,66,55,4,3,2,10,2.8,Pedesaan,731.5
RMH0423,66,33,3,1,2,6,17.6,Perkotaan,811.1
RMH0424,60,35,2,1,1,2,10.8,Perkotaan,872.2
RMH0425,202,160,5,4,3,40,3.7,Pinggiran,1828.3
RMH0426,175,86,3,2,1,9,0.6,Pinggiran,1233.0
RMH0427,200,126,2,1,1,7,5.0,Pinggiran,1537.5
RMH0428,218,99,3,2,1,15,0.9,Pinggiran,1586.2
RMH0429,206,122,2,1,2,2,5.6,Pedesaan,1187.5
RMH0430,120,80,3,1,1,0,4.2,Perkotaan,1643.2
RMH0431,88,60,2,2,2,6,30,Pinggiran,799.1
RMH0432,84,45,3,2,1,6,3.0,Pinggiran,673.9
RMH0433,79,61,1,1,1,6,3.5,Perkotaan,1186.8
RMH0434,117,98,3,2,1,5,0.4,Pinggiran,1128.0
RMH0435,196,159,3,2,1,5,0.3,Pedesaan,1247.3
RMH0436,248,163,4,2,1,2,6.4,Pinggiran,1866.4
RMH0437,74,49,1,1,2,6,2.6,Pedesaan,441.9
RMH0438,157,109,2,1,1,8,1.4,Perkotaan,1764.3
RMH0439,78,39,4,2,2,10,3.9,Pinggiran,804.6
RMH0440,190,149,3,2,1,8,0.3,Pinggiran,1738.9
RMH0441,201,105,3,3,2,7,0.3,Pinggiran,1533.2
RMH0442,101,49,1,1,1,14,5.5,Pinggiran,872.6
RMH0443,169,121,2,1,2,3,3.6,Pinggiran,1498.8
RMH0444,219,108,4,3,1,1,0.6,Pinggiran,1843.0
RMH0445,135,103,3,2,1,5,0.8,Pinggiran,1404.2
RMH0446,60,46,2,1,1,6,1.6,Pedesaan,420.7
RMH0447,167,114,2,2,2,10,0.6,Perkotaan,1825.0
RMH0448,157,125,3,2,1,10,9.3,Pinggiran,1630.2
RMH0449,156,111,3,2,1,4,1.0,Pinggiran,1424.2
RMH0450,288,178,2,1,2,4,9.2,Pinggiran,2207.2
RMH0451,89,49,4,2,1,10,8.0,Pedesaan,528.0
RMH0452,60,38,3,2,1,3,4.8,Pinggiran,655.1
RMH0453,139,116,2,1,1,1,15.6,Pinggiran,1357.7
RMH0454,169,81,4,4,2,6,7.5,Pinggiran,1376.4
RMH0455,272,192,2,1,1,9,9.8,Perkotaan,2902.1
RMH0456,170,112,3,1,1,0,1.0,Pedesaan,1113.2
RMH0457,162,99,2,1,1,11,0.4,Perkotaan,1670.0
RMH0458,279,228,1,1,2,2,15.9,Pinggiran,2540.1
RMH0459,145,71,4,2,1,24,9.7,Pedesaan,901.3
RMH0460,60,41,2,1,2,11,19.5,Pinggiran,379.4
RMH0461,60,28,3,1,1,8,30,Pinggiran,507.9
RMH0462,210,175,3,2,1,1,6.7,Pedesaan,1393.9
RMH0463,294,188,4,2,2,3,17.6,Pinggiran,2354.4
RMH0464,106,56,3,2,1,2,5.8,Perkotaan,1054.4
RMH0465,273,197,5,4,2,12,4.7,Perkotaan,2921.3
RMH0466,161,104,5,4,1,33,14.9,Perkotaan,1718.7
RMH0467,166,78,4,3,1,6,4.2,Pinggiran,1282.6
RMH0468,110,92,3,2,1,2,5.2,Perkotaan,1419.3
RMH0469,109,73,2,1,1,8,2.7,Pinggiran,1034.5
RMH0470,255,153,4,2,1,7,1.6,Perkotaan,2526.4
RMH0471,144,90,4,2,1,26,1.0,Pedesaan,927.2
RMH0472,224,190,4,3,2,3,5.0,Pinggiran,2042.7
RMH0473,64,30,4,3,1,8,3.6,Perkotaan,848.4
RMH0474,219,180,3,1,2,26,1.3,Pinggiran,1944.9
RMH0475,124,95,2,1,2,5,8.0,Pedesaan,790.9
RMH0476,189,133,3,2,1,8,5.1,Pedesaan,1211.1
RMH0477,188,102,3,2,1,2,6.2,Perkotaan,1735.4
RMH0478,197,117,1,1,1,0,7.8,Pinggiran,1382.5
RMH0479,251,121,2,1,1,1,12.7,Pinggiran,1787.3
RMH0480,162,122,4,2,2,17,2.2,Perkotaan,1985.1
RMH0481,129,65,5,4,1,9,11.8,Perkotaan,1210.0
RMH0482,178,119,3,3,2,2,5.5,Pinggiran,1666.0
RMH0483,91,60,2,1,1,3,4.7,Pedesaan,553.1
RMH0484,174,96,3,2,2,3,3.8,Perkotaan,1837.0
RMH0485,300,192,2,1,1,3,1.6,Perkotaan,2909.8
RMH0486,201,136,2,2,1,4,1.8,Pinggiran,1714.1
RMH0487,158,129,5,4,2,3,8.2,Pedesaan,1013.4
RMH0488,221,116,3,2,1,8,1.2,Perkotaan,2267.6
RMH0489,232,122,3,1,1,10,7.8,Perkotaan,2217.1
RMH0490,216,127,2,2,1,13,2.4,Pedesaan,1334.1
RMH0491,173,132,3,1,1,2,11.1,Pedesaan,1128.8
RMH0492,119,90,3,2,2,0,3.7,Pinggiran,1368.7
RMH0493,60,38,3,2,1,3,6.0,Perkotaan,1011.5
RMH0494,117,65,3,3,2,2,0.7,Pinggiran,1052.9
RMH0495,131,73,4,2,2,0,0.3,Pinggiran,1079.6
RMH0496,165,99,4,2,2,21,30,Pinggiran,1272.1
RMH0497,244,178,4,3,1,2,24.0,Pinggiran,2035.7
RMH0498,60,38,4,2,1,18,4.0,Pinggiran,810.9
RMH0499,120,63,5,2,1,11,1.9,Pedesaan,869.0
RMH0500,104,50,4,2,1,0,6.1,Pinggiran,1004.7
